id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
337987,Female,58,1,28.0,0,1-2 Year,Yes,37197.0,26.0,79,0
30361,Female,31,1,46.0,1,< 1 Year,No,31611.0,152.0,21,0
303183,Female,25,1,14.0,1,< 1 Year,No,32956.0,152.0,154,0
224558,Male,22,1,15.0,0,< 1 Year,No,2630.0,152.0,214,0
338305,Male,61,1,28.0,1,1-2 Year,No,58594.0,147.0,172,0
299797,Male,25,1,6.0,1,< 1 Year,No,27914.0,152.0,214,0
315898,Male,45,1,28.0,0,> 2 Years,Yes,31317.0,124.0,59,0
87306,Female,45,1,28.0,0,1-2 Year,Yes,2630.0,124.0,289,0
318205,Male,24,1,8.0,1,< 1 Year,No,52190.0,152.0,108,0
376595,Female,29,1,35.0,1,< 1 Year,No,30234.0,152.0,129,0
132353,Male,39,1,28.0,0,1-2 Year,No,49818.0,124.0,175,0
31834,Female,26,1,28.0,1,< 1 Year,No,44581.0,152.0,210,0
156249,Female,22,1,10.0,0,< 1 Year,Yes,31487.0,152.0,213,0
335118,Female,53,1,28.0,0,1-2 Year,No,34873.0,152.0,139,0
274333,Female,33,1,28.0,0,< 1 Year,Yes,36212.0,26.0,144,1
334310,Male,50,1,28.0,0,1-2 Year,Yes,32871.0,26.0,19,0
263513,Male,76,1,28.0,1,1-2 Year,No,53510.0,124.0,37,0
114772,Female,40,1,4.0,0,1-2 Year,Yes,33898.0,124.0,173,1
59790,Male,26,1,36.0,1,< 1 Year,Yes,29492.0,152.0,178,0
369876,Female,32,1,30.0,1,< 1 Year,No,2630.0,152.0,234,0
239402,Female,24,1,5.0,0,< 1 Year,Yes,16647.0,152.0,292,0
364708,Female,24,1,44.0,0,< 1 Year,Yes,34097.0,152.0,71,0
32578,Male,57,1,48.0,1,1-2 Year,No,2630.0,124.0,174,0
53302,Female,22,1,46.0,1,< 1 Year,No,40520.0,152.0,290,0
82219,Female,39,1,7.0,1,1-2 Year,No,26620.0,124.0,195,0
113576,Female,38,1,15.0,0,1-2 Year,Yes,2630.0,152.0,114,1
25234,Female,45,1,28.0,0,1-2 Year,Yes,33830.0,26.0,189,1
13598,Male,54,1,33.0,0,1-2 Year,Yes,56566.0,26.0,202,0
133202,Female,57,1,8.0,0,1-2 Year,Yes,33711.0,124.0,79,0
372910,Male,56,1,28.0,1,1-2 Year,No,27055.0,26.0,130,0
216275,Male,57,1,38.0,0,1-2 Year,No,34077.0,124.0,71,0
118096,Female,29,1,21.0,1,< 1 Year,No,27547.0,152.0,256,0
313696,Male,65,1,28.0,0,> 2 Years,Yes,35216.0,122.0,152,0
232806,Male,40,1,18.0,0,1-2 Year,Yes,2630.0,156.0,274,1
173034,Male,21,1,10.0,0,< 1 Year,Yes,27683.0,152.0,121,0
246444,Female,48,1,8.0,0,1-2 Year,Yes,45364.0,124.0,31,0
255496,Male,22,1,46.0,1,< 1 Year,No,57154.0,152.0,291,0
352050,Female,25,1,36.0,0,< 1 Year,Yes,41679.0,152.0,261,0
359757,Male,27,1,15.0,1,< 1 Year,No,52014.0,152.0,279,0
218120,Male,34,1,41.0,1,1-2 Year,No,37908.0,124.0,140,0
29830,Male,29,1,11.0,1,< 1 Year,No,34946.0,152.0,146,0
297127,Female,21,1,46.0,0,< 1 Year,Yes,54577.0,160.0,214,0
60170,Male,29,1,13.0,0,< 1 Year,Yes,2630.0,152.0,114,0
263467,Female,22,1,29.0,1,< 1 Year,No,27938.0,152.0,207,0
237887,Male,46,1,8.0,0,> 2 Years,Yes,51079.0,26.0,155,0
135402,Female,30,1,11.0,1,< 1 Year,No,29631.0,152.0,279,0
251786,Female,22,1,15.0,0,< 1 Year,Yes,30121.0,152.0,78,0
31500,Male,39,1,38.0,0,1-2 Year,Yes,26297.0,124.0,291,1
376763,Male,40,1,6.0,1,1-2 Year,No,19473.0,152.0,50,0
192628,Male,67,1,28.0,0,1-2 Year,Yes,59801.0,26.0,118,0
141817,Male,66,0,28.0,0,> 2 Years,Yes,45402.0,122.0,236,1
129385,Male,22,1,41.0,1,1-2 Year,No,38374.0,124.0,288,0
279074,Female,24,1,42.0,0,< 1 Year,No,31155.0,152.0,73,0
132988,Male,68,1,50.0,0,1-2 Year,Yes,27719.0,26.0,215,0
32481,Female,53,1,28.0,0,1-2 Year,Yes,57300.0,124.0,249,0
91027,Male,26,1,29.0,1,< 1 Year,No,2630.0,152.0,237,0
351131,Female,33,1,36.0,0,< 1 Year,Yes,2630.0,152.0,296,0
315556,Male,25,1,37.0,1,< 1 Year,No,2630.0,152.0,108,0
58031,Male,46,1,50.0,0,1-2 Year,Yes,32862.0,124.0,82,1
344661,Male,72,1,8.0,0,> 2 Years,Yes,52844.0,124.0,92,1
214554,Female,43,1,28.0,1,1-2 Year,No,39008.0,60.0,184,0
316069,Male,52,1,15.0,0,1-2 Year,Yes,32322.0,14.0,209,0
277604,Male,39,1,29.0,0,1-2 Year,Yes,24723.0,124.0,138,1
188681,Male,30,1,28.0,0,1-2 Year,Yes,77603.0,124.0,198,0
279072,Male,28,1,46.0,1,< 1 Year,No,27267.0,152.0,73,0
255643,Female,24,1,47.0,1,< 1 Year,No,24605.0,152.0,122,0
130307,Male,26,1,47.0,1,< 1 Year,No,36631.0,152.0,197,0
352787,Male,56,1,23.0,1,1-2 Year,No,33882.0,124.0,99,0
253492,Male,28,1,8.0,1,< 1 Year,No,37084.0,152.0,101,0
272794,Male,53,1,37.0,1,1-2 Year,Yes,34588.0,26.0,273,0
174288,Female,37,1,28.0,0,1-2 Year,Yes,33865.0,124.0,58,1
354060,Male,40,1,28.0,0,1-2 Year,Yes,39194.0,26.0,12,0
1812,Male,61,1,0.0,0,1-2 Year,Yes,2630.0,124.0,223,1
258301,Male,41,1,28.0,0,1-2 Year,Yes,32984.0,26.0,299,0
147567,Female,56,1,47.0,0,1-2 Year,No,22005.0,152.0,292,0
328713,Female,75,1,31.0,0,1-2 Year,Yes,2630.0,124.0,298,1
318416,Female,30,1,12.0,1,< 1 Year,No,39061.0,152.0,26,0
325951,Female,52,1,35.0,1,1-2 Year,No,22376.0,124.0,32,0
23513,Female,49,1,28.0,0,> 2 Years,Yes,45846.0,124.0,92,0
101203,Male,52,1,28.0,0,1-2 Year,Yes,40645.0,26.0,295,0
192011,Male,44,1,48.0,0,1-2 Year,Yes,2630.0,15.0,188,0
297761,Female,22,1,33.0,1,< 1 Year,No,35721.0,152.0,284,0
266101,Female,73,1,28.0,1,1-2 Year,No,2630.0,26.0,81,0
324336,Female,32,1,3.0,0,1-2 Year,Yes,18611.0,154.0,159,1
123245,Female,24,1,8.0,0,< 1 Year,Yes,27002.0,152.0,252,0
313478,Male,51,1,21.0,0,1-2 Year,Yes,26174.0,124.0,254,0
310374,Male,34,1,28.0,0,1-2 Year,No,36827.0,26.0,280,1
361330,Male,45,1,28.0,0,1-2 Year,Yes,48538.0,26.0,253,1
242771,Male,25,1,28.0,0,< 1 Year,Yes,53436.0,124.0,88,1
276073,Male,20,1,6.0,0,1-2 Year,Yes,26562.0,163.0,253,1
85036,Male,31,1,11.0,1,< 1 Year,Yes,2630.0,152.0,36,0
289310,Female,21,1,14.0,1,< 1 Year,Yes,2630.0,160.0,296,0
76005,Male,25,1,41.0,1,< 1 Year,No,33426.0,152.0,149,0
329684,Male,25,1,41.0,0,< 1 Year,Yes,36647.0,152.0,239,0
3720,Female,23,1,8.0,0,< 1 Year,Yes,28363.0,152.0,170,0
45822,Male,66,1,8.0,0,> 2 Years,Yes,36406.0,25.0,71,0
74331,Female,28,1,28.0,0,< 1 Year,Yes,39494.0,26.0,210,0
291396,Male,53,1,8.0,0,1-2 Year,No,53417.0,124.0,291,0
279517,Male,24,1,32.0,0,< 1 Year,Yes,2630.0,152.0,173,0
368311,Female,22,1,11.0,1,< 1 Year,No,25775.0,152.0,261,0
123089,Male,30,1,41.0,1,< 1 Year,No,25866.0,152.0,206,0
264905,Male,53,1,8.0,0,1-2 Year,Yes,34202.0,124.0,120,1
325413,Female,28,1,28.0,0,< 1 Year,Yes,44179.0,124.0,143,1
264647,Male,42,1,28.0,1,1-2 Year,Yes,2630.0,124.0,212,0
343574,Female,27,1,10.0,1,< 1 Year,No,32078.0,152.0,162,0
359794,Female,22,1,11.0,0,< 1 Year,Yes,2630.0,160.0,168,0
218683,Male,36,1,28.0,0,1-2 Year,Yes,33120.0,124.0,22,0
332328,Female,63,1,28.0,0,1-2 Year,Yes,41780.0,61.0,46,0
158305,Male,24,1,12.0,1,< 1 Year,No,36866.0,152.0,259,0
284482,Female,73,1,28.0,1,1-2 Year,No,26680.0,154.0,208,0
78137,Female,29,1,28.0,1,< 1 Year,No,29036.0,152.0,124,0
98992,Male,39,1,28.0,0,1-2 Year,Yes,41278.0,124.0,14,0
360439,Male,21,1,47.0,1,< 1 Year,No,34447.0,152.0,226,0
343461,Female,50,1,15.0,0,1-2 Year,Yes,30494.0,26.0,146,0
338009,Female,21,1,37.0,0,< 1 Year,Yes,37978.0,152.0,151,1
208272,Female,25,1,41.0,0,< 1 Year,Yes,29606.0,152.0,160,0
327485,Female,28,1,6.0,1,< 1 Year,No,25697.0,151.0,216,0
22255,Male,27,1,17.0,0,< 1 Year,Yes,31630.0,152.0,262,0
234330,Male,53,1,28.0,0,1-2 Year,Yes,38907.0,124.0,289,0
277480,Female,69,1,28.0,0,1-2 Year,Yes,44197.0,26.0,269,0
83288,Female,26,1,49.0,1,< 1 Year,No,31663.0,152.0,105,0
167953,Female,24,1,41.0,0,< 1 Year,Yes,42131.0,152.0,124,0
247085,Female,50,1,39.0,0,1-2 Year,No,28270.0,124.0,232,0
251339,Male,72,1,9.0,0,1-2 Year,Yes,33896.0,124.0,87,0
218546,Female,32,1,45.0,1,< 1 Year,No,18876.0,152.0,232,0
224417,Male,25,1,11.0,1,< 1 Year,No,48696.0,152.0,81,0
137620,Male,50,1,28.0,0,1-2 Year,Yes,38282.0,26.0,222,1
221035,Female,66,1,35.0,0,1-2 Year,Yes,2630.0,124.0,215,1
154205,Male,65,1,28.0,0,1-2 Year,Yes,38476.0,26.0,167,0
146057,Male,36,1,28.0,0,1-2 Year,Yes,37614.0,124.0,180,1
255307,Male,42,1,15.0,0,1-2 Year,Yes,22538.0,124.0,227,1
191746,Female,22,1,46.0,1,< 1 Year,No,25319.0,152.0,22,0
36277,Male,54,1,29.0,0,1-2 Year,Yes,42823.0,26.0,127,1
96838,Female,41,1,17.0,0,1-2 Year,Yes,45313.0,124.0,222,0
297147,Male,24,1,46.0,1,< 1 Year,No,25263.0,152.0,226,0
379970,Male,50,1,11.0,1,1-2 Year,No,23784.0,26.0,54,0
42110,Male,52,1,8.0,1,1-2 Year,No,42682.0,124.0,71,0
35014,Male,55,1,41.0,1,1-2 Year,Yes,35305.0,12.0,56,0
124421,Male,47,1,39.0,0,< 1 Year,No,2630.0,1.0,30,0
42638,Female,54,1,32.0,0,1-2 Year,Yes,30852.0,26.0,215,1
18863,Male,75,1,35.0,1,1-2 Year,No,37118.0,30.0,198,0
342482,Male,55,1,28.0,0,> 2 Years,Yes,49770.0,26.0,55,0
124494,Male,24,1,25.0,1,< 1 Year,No,38228.0,152.0,244,0
108276,Male,54,1,39.0,1,1-2 Year,No,2630.0,26.0,283,0
21868,Female,28,1,50.0,1,< 1 Year,No,29218.0,8.0,154,0
275973,Female,49,1,28.0,0,1-2 Year,Yes,41758.0,26.0,225,0
169656,Female,70,1,31.0,0,1-2 Year,Yes,2630.0,124.0,89,0
292862,Male,31,1,10.0,1,< 1 Year,No,2630.0,152.0,17,0
303688,Male,23,1,30.0,1,< 1 Year,No,25359.0,152.0,187,0
145512,Male,24,1,15.0,1,< 1 Year,Yes,112785.0,152.0,189,0
319808,Female,56,1,8.0,0,1-2 Year,Yes,42234.0,26.0,219,0
345849,Male,39,1,37.0,0,1-2 Year,Yes,36696.0,124.0,285,0
335144,Female,28,1,11.0,1,< 1 Year,No,43426.0,152.0,196,0
265407,Male,21,1,8.0,0,< 1 Year,Yes,44361.0,152.0,184,1
247267,Female,72,1,28.0,0,1-2 Year,Yes,40886.0,122.0,243,0
6295,Male,48,1,28.0,0,1-2 Year,Yes,29119.0,163.0,73,0
18338,Female,22,1,46.0,1,< 1 Year,No,27433.0,152.0,126,0
136979,Female,40,1,45.0,1,1-2 Year,No,2630.0,152.0,254,0
338145,Male,49,1,28.0,1,1-2 Year,No,28440.0,26.0,159,0
311554,Female,41,1,0.0,1,1-2 Year,No,2630.0,26.0,153,0
304633,Male,44,1,39.0,0,1-2 Year,Yes,49913.0,124.0,204,1
184597,Female,30,1,8.0,0,1-2 Year,Yes,43633.0,124.0,70,1
186609,Male,34,1,35.0,1,1-2 Year,No,30069.0,152.0,85,0
165224,Female,67,1,41.0,0,1-2 Year,Yes,35696.0,124.0,203,0
170447,Female,37,1,28.0,0,1-2 Year,Yes,29040.0,155.0,142,1
198037,Male,28,1,12.0,1,< 1 Year,No,45767.0,152.0,282,0
239152,Female,24,1,9.0,1,< 1 Year,No,36383.0,152.0,112,0
255818,Male,31,1,35.0,1,< 1 Year,No,33616.0,152.0,183,0
224734,Male,20,1,3.0,1,< 1 Year,No,41294.0,160.0,252,0
169215,Female,29,1,11.0,1,< 1 Year,No,28357.0,152.0,17,0
157897,Male,57,1,28.0,1,1-2 Year,No,2630.0,26.0,239,0
309125,Male,44,1,39.0,0,1-2 Year,Yes,40697.0,124.0,119,0
124688,Female,44,1,28.0,0,> 2 Years,Yes,2630.0,26.0,175,0
80614,Male,43,1,28.0,0,1-2 Year,Yes,29722.0,124.0,18,0
93962,Female,70,1,15.0,0,1-2 Year,Yes,46062.0,157.0,281,0
337658,Female,22,1,8.0,0,< 1 Year,Yes,32746.0,160.0,177,0
279038,Female,21,1,35.0,1,< 1 Year,No,25078.0,160.0,92,0
301120,Male,63,1,28.0,0,1-2 Year,Yes,33672.0,124.0,263,0
222950,Male,24,1,17.0,1,< 1 Year,No,38455.0,152.0,255,0
122390,Female,22,1,6.0,1,< 1 Year,No,22536.0,152.0,245,0
317311,Female,30,1,28.0,0,< 1 Year,Yes,45996.0,52.0,291,1
186581,Female,22,1,26.0,1,< 1 Year,No,32916.0,152.0,293,0
16968,Female,27,1,28.0,1,< 1 Year,No,28048.0,152.0,67,0
50255,Male,57,1,15.0,1,1-2 Year,No,32461.0,124.0,41,0
349975,Female,30,1,16.0,1,< 1 Year,No,2630.0,152.0,20,0
75186,Male,26,1,28.0,1,< 1 Year,No,32035.0,152.0,166,0
263402,Male,22,1,27.0,0,< 1 Year,Yes,28639.0,152.0,28,0
78711,Female,28,1,28.0,1,< 1 Year,No,35109.0,152.0,222,0
54012,Male,50,1,28.0,1,1-2 Year,No,38514.0,55.0,295,0
351726,Male,49,1,28.0,1,1-2 Year,Yes,42873.0,26.0,192,0
265249,Male,31,1,41.0,0,< 1 Year,Yes,36854.0,152.0,102,0
106014,Male,20,1,50.0,1,1-2 Year,No,2630.0,156.0,23,0
70762,Female,30,1,36.0,0,1-2 Year,Yes,2630.0,156.0,103,0
161937,Male,23,1,27.0,0,< 1 Year,No,28062.0,152.0,98,0
182394,Female,30,1,41.0,1,< 1 Year,No,31179.0,152.0,74,0
6315,Female,24,1,27.0,0,< 1 Year,Yes,27627.0,152.0,139,0
248434,Female,34,1,27.0,0,1-2 Year,Yes,2630.0,152.0,292,0
69418,Female,21,1,47.0,1,< 1 Year,No,31106.0,152.0,164,0
188358,Female,24,1,29.0,1,< 1 Year,No,366891.0,152.0,241,0
30883,Female,56,1,39.0,1,1-2 Year,No,29838.0,26.0,34,0
42763,Female,42,1,28.0,1,1-2 Year,No,69856.0,26.0,296,0
213164,Male,56,1,28.0,0,> 2 Years,Yes,2630.0,26.0,133,1
90687,Male,25,1,15.0,0,< 1 Year,No,44062.0,152.0,29,0
116231,Male,23,1,17.0,1,< 1 Year,No,28533.0,152.0,205,0
272572,Male,50,1,8.0,0,1-2 Year,Yes,73637.0,26.0,100,0
119239,Female,40,1,28.0,0,1-2 Year,Yes,2630.0,26.0,209,1
351847,Male,29,1,28.0,0,< 1 Year,Yes,40407.0,26.0,29,0
150971,Male,23,1,46.0,1,< 1 Year,No,29316.0,152.0,65,0
18687,Female,21,1,46.0,1,< 1 Year,Yes,20904.0,152.0,183,0
281934,Female,41,1,28.0,0,1-2 Year,Yes,55717.0,124.0,91,0
151186,Male,41,1,28.0,0,1-2 Year,Yes,63472.0,55.0,120,0
210751,Male,43,1,8.0,0,> 2 Years,Yes,2630.0,157.0,114,0
310288,Male,23,1,13.0,0,< 1 Year,Yes,2630.0,152.0,66,0
380360,Male,52,1,48.0,0,> 2 Years,Yes,2630.0,157.0,64,1
