[ 2025-12-23 23:25:53,111 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2025-12-23 23:28:36,762 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:6]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[7:8]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[9:12]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[13:15]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[16:31]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[32:33]
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-12-23 23:28:36,767 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-12-23 23:28:36,775 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[34:45]
[ 2025-12-23 23:28:36,775 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[46:48]
[ 2025-12-23 23:28:36,775 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-12-23 23:28:36,777 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2025-12-23 23:28:36,778 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[49:67]
[ 2025-12-23 23:28:36,778 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[68:69]
[ 2025-12-23 23:28:36,780 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2025-12-23 23:28:36,780 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
